#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.184058e+10 1.5708123e-15 8.2597715e-16 220226.85 87557384 1.6651334e+08
0.15 1.1827999e+10 1.6271351e-15 8.5450097e-16 227638.74 90100811 1.7156937e+08
0.15 1.1815417e+10 1.6854168e-15 8.8396906e-16 235291.06 92713324 1.7677156e+08
0.15 1.1802836e+10 1.7457178e-15 9.1441528e-16 243190.59 95397070 1.8212334e+08
0.15 1.1790254e+10 1.8081008e-15 9.4587442e-16 251344.25 98154238 1.8762824e+08
0.15 1.1777672e+10 1.8726309e-15 9.783817e-16 259759.31 1.0098699e+08 1.9328997e+08
0.15 1.1765091e+10 1.9393774e-15 1.0119724e-15 268443.5 1.0389743e+08 1.9911249e+08
0.15 1.1752509e+10 2.0084126e-15 1.0466823e-15 277404.89 1.0688768e+08 2.0510001e+08
0.15 1.1739927e+10 2.0798132e-15 1.0825465e-15 286652.12 1.0995966e+08 2.1125703e+08
0.15 1.1727346e+10 2.1536585e-15 1.1196003e-15 296194.03 1.1311532e+08 2.1758817e+08
0.15 1.1714764e+10 2.2300322e-15 1.1578821e-15 306040.03 1.1635683e+08 2.2409835e+08
0.15 1.1702183e+10 2.3090203e-15 1.1974302e-15 316199.72 1.1968627e+08 2.3079259e+08
0.15 1.1689601e+10 2.390711e-15 1.2382839e-15 326682.94 1.2310578e+08 2.3767597e+08
0.15 1.1677019e+10 2.4751966e-15 1.2804837e-15 337499.94 1.2661753e+08 2.4475382e+08
0.15 1.1664438e+10 2.5625716e-15 1.3240712e-15 348661.21 1.3022374e+08 2.520315e+08
0.15 1.1651856e+10 2.6529331e-15 1.3690892e-15 360177.45 1.3392667e+08 2.595145e+08
0.15 1.1639274e+10 2.7463797e-15 1.4155829e-15 372059.5 1.3772876e+08 2.6720827e+08
0.15 1.1626693e+10 2.8430116e-15 1.4636015e-15 384318.26 1.4163272e+08 2.7511825e+08
0.15 1.1614111e+10 2.9429275e-15 1.5131978e-15 396964.37 1.4564158e+08 2.8324956e+08
0.15 1.160153e+10 3.046224e-15 1.5644282e-15 410008 1.4975857e+08 2.9160695e+08
0.15 1.1588948e+10 3.1529989e-15 1.6173523e-15 423459.46 1.5398715e+08 3.0019514e+08
0.15 1.1576366e+10 3.2633548e-15 1.6720314e-15 437329.55 1.5833084e+08 3.0901914e+08
0.15 1.1563785e+10 3.3774009e-15 1.7285258e-15 451629.82 1.6279297e+08 3.1808441e+08
0.15 1.1551203e+10 3.4952551e-15 1.7868943e-15 466372.91 1.673766e+08 3.2739704e+08
0.15 1.1538621e+10 3.6170441e-15 1.8471938e-15 481572.48 1.7208454e+08 3.3696377e+08
0.15 1.152604e+10 3.7429027e-15 1.9094803e-15 497243.1 1.7691943e+08 3.4679186e+08
0.15 1.1513458e+10 3.8729709e-15 1.9738108e-15 513399.93 1.8188389e+08 3.5688883e+08
0.15 1.1500877e+10 4.0073918e-15 2.0402449e-15 530058.36 1.869807e+08 3.6726225e+08
0.15 1.1488295e+10 4.1463111e-15 2.1088454e-15 547233.96 1.9221285e+08 3.7791971e+08
0.15 1.1475713e+10 4.2898774e-15 2.1796785e-15 564942.51 1.975835e+08 3.8886881e+08
0.15 1.1463132e+10 4.4382424e-15 2.2528134e-15 583200.09 2.0309602e+08 4.0011719e+08
0.15 1.145055e+10 4.5915624e-15 2.3283217e-15 602023.15 2.0875386e+08 4.1167265e+08
0.15 1.1437968e+10 4.7499988e-15 2.4062768e-15 621428.67 2.1456053e+08 4.2354323e+08
0.15 1.1425387e+10 4.9137181e-15 2.4867542e-15 641434.12 2.205196e+08 4.3573714e+08
0.15 1.1412805e+10 5.0828919e-15 2.5698315e-15 662057.46 2.2663472e+08 4.4826278e+08
0.15 1.1400224e+10 5.2576971e-15 2.6555883e-15 683317.12 2.3290959e+08 4.6112873e+08
0.15 1.1387642e+10 5.4383156e-15 2.7441071e-15 705232.01 2.3934802e+08 4.7434377e+08
0.15 1.137506e+10 5.6249348e-15 2.8354725e-15 727821.55 2.4595393e+08 4.8791684e+08
0.15 1.1362479e+10 5.8177476e-15 2.9297722e-15 751105.67 2.5273131e+08 5.0185709e+08
0.15 1.1349897e+10 6.0169532e-15 3.0270962e-15 775104.89 2.5968425e+08 5.1617388e+08
0.15 1.1337315e+10 6.2227573e-15 3.127537e-15 799840.38 2.6681693e+08 5.3087686e+08
0.15 1.1324734e+10 6.4353731e-15 3.2311898e-15 825333.99 2.7413359e+08 5.4597596e+08
0.15 1.1312152e+10 6.6550179e-15 3.3381527e-15 851607.95 2.816386e+08 5.6148118e+08
0.15 1.1299571e+10 6.8819183e-15 3.4485276e-15 878685.36 2.8933647e+08 5.7740293e+08
0.15 1.1286989e+10 7.1163059e-15 3.5624198e-15 906589.76 2.9723187e+08 5.9375173e+08
0.15 1.1274407e+10 7.3584213e-15 3.6799385e-15 935345.56 3.0532962e+08 6.1053846e+08
0.15 1.1261826e+10 7.6085067e-15 3.8011932e-15 964977.15 3.1363442e+08 6.2777384e+08
0.15 1.1249244e+10 7.8668125e-15 3.9262972e-15 995509.65 3.2215112e+08 6.4546882e+08
0.15 1.1236662e+10 8.1336004e-15 4.0553703e-15 1026969.4 3.3088491e+08 6.63635e+08
0.15 1.1224081e+10 8.4091375e-15 4.1885343e-15 1059383.1 3.3984101e+08 6.8228395e+08
0.15 1.1211499e+10 8.6936982e-15 4.3259151e-15 1092778 3.4902475e+08 7.014275e+08
0.15 1.1198918e+10 8.987563e-15 4.4676415e-15 1127182 3.5844154e+08 7.2107753e+08
0.15 1.1186336e+10 9.2910176e-15 4.613844e-15 1162623.2 3.6809674e+08 7.4124597e+08
0.15 1.1173754e+10 9.6043582e-15 4.7646585e-15 1199130.9 3.7799595e+08 7.6194516e+08
0.15 1.1161173e+10 9.9278901e-15 4.9202256e-15 1236734.9 3.8814494e+08 7.8318773e+08
0.15 1.1148591e+10 1.0261925e-14 5.0806883e-15 1275465.7 3.9854949e+08 8.0498637e+08
0.15 1.1136009e+10 1.0606783e-14 5.2461935e-15 1315354.6 4.0921546e+08 8.2735408e+08
0.15 1.1123428e+10 1.0962797e-14 5.4168932e-15 1356434 4.2014893e+08 8.5030426e+08
0.15 1.1110846e+10 1.1330309e-14 5.5929437e-15 1398736.9 4.3135606e+08 8.7385067e+08
0.15 1.1098265e+10 1.1709673e-14 5.7745062e-15 1442297.8 4.4284321e+08 8.9800742e+08
0.15 1.1085683e+10 1.2101254e-14 5.9617467e-15 1487151.7 4.5461688e+08 9.2278903e+08
0.15 1.1073101e+10 1.2505428e-14 6.1548364e-15 1533335.2 4.6668373e+08 9.4821038e+08
0.15 1.106052e+10 1.2922583e-14 6.3539519e-15 1580885.5 4.7905057e+08 9.7428672e+08
0.15 1.1047938e+10 1.335312e-14 6.5592745e-15 1629840.9 4.9172437e+08 1.0010336e+09
0.15 1.1035356e+10 1.3797447e-14 6.7709923e-15 1680240.5 5.0471234e+08 1.0284669e+09
0.15 1.1022775e+10 1.4255989e-14 6.9892971e-15 1732125 5.180217e+08 1.0566029e+09
0.15 1.1010193e+10 1.4729183e-14 7.2143865e-15 1785535.7 5.3165987e+08 1.0854582e+09
0.15 1.0997612e+10 1.5217473e-14 7.4464657e-15 1840514.8 5.4563453e+08 1.1150497e+09
0.15 1.098503e+10 1.5721322e-14 7.6857442e-15 1897105.8 5.5995345e+08 1.1453944e+09
0.15 1.0972448e+10 1.6241203e-14 7.9324374e-15 1955353.5 5.7462451e+08 1.1765102e+09
0.15 1.0959867e+10 1.6777599e-14 8.186768e-15 2015303 5.8965586e+08 1.2084145e+09
0.15 1.0947285e+10 1.7331006e-14 8.4489638e-15 2077000.6 6.0505571e+08 1.2411255e+09
0.15 1.0934703e+10 1.7901937e-14 8.7192557e-15 2140494.2 6.208322e+08 1.2746615e+09
0.15 1.0922122e+10 1.849092e-14 8.9978795e-15 2205832.6 6.3699354e+08 1.3090414e+09
0.15 1.090954e+10 1.9098493e-14 9.2850783e-15 2273065.8 6.5354813e+08 1.3442843e+09
0.15 1.0896959e+10 1.9725209e-14 9.5811026e-15 2342244.4 6.705046e+08 1.3804093e+09
0.15 1.0884377e+10 2.0371637e-14 9.8862099e-15 2413420.9 6.8787174e+08 1.4174364e+09
0.15 1.0871795e+10 2.1038369e-14 1.0200664e-14 2486649.7 7.0565847e+08 1.455386e+09
0.15 1.0859214e+10 2.172602e-14 1.0524736e-14 2561987.1 7.2387382e+08 1.4942795e+09
0.15 1.0846632e+10 2.2435226e-14 1.0858704e-14 2639491.4 7.4252709e+08 1.5341392e+09
0.15 1.083405e+10 2.3166639e-14 1.1202858e-14 2719222.5 7.6162792e+08 1.5749874e+09
0.15 1.0821469e+10 2.3920935e-14 1.1557496e-14 2801241.6 7.8118622e+08 1.6168472e+09
0.15 1.0808887e+10 2.4698806e-14 1.1922924e-14 2885612 8.0121202e+08 1.6597423e+09
0.15 1.0796306e+10 2.5500969e-14 1.2299455e-14 2972398.4 8.2171549e+08 1.7036968e+09
0.15 1.0783724e+10 2.6328159e-14 1.268741e-14 3061667.4 8.4270691e+08 1.7487353e+09
0.15 1.0771142e+10 2.7181129e-14 1.3087119e-14 3153486.9 8.6419676e+08 1.7948828e+09
0.15 1.0758561e+10 2.8060657e-14 1.3498919e-14 3247926.4 8.8619567e+08 1.8421648e+09
0.15 1.0745979e+10 2.8967539e-14 1.3923156e-14 3345057.4 9.0871442e+08 1.8906073e+09
0.15 1.0733397e+10 2.9902596e-14 1.4360187e-14 3444953.1 9.3176401e+08 1.9402367e+09
0.15 1.0720816e+10 3.0866671e-14 1.4810377e-14 3547688.3 9.5535564e+08 1.9910801e+09
0.15 1.0708234e+10 3.1860631e-14 1.5274102e-14 3653340 9.7950076e+08 2.0431651e+09
0.15 1.0695653e+10 3.2885369e-14 1.5751749e-14 3761987 1.004211e+09 2.0965196e+09
0.15 1.0683071e+10 3.39418e-14 1.6243713e-14 3873709.8 1.0294983e+09 2.1511723e+09
0.15 1.0670489e+10 3.5030867e-14 1.6750403e-14 3988591.4 1.0553748e+09 2.2071524e+09
0.15 1.0657908e+10 3.6153538e-14 1.7272237e-14 4106716.4 1.0818527e+09 2.2644897e+09
0.15 1.0645326e+10 3.7310808e-14 1.7809647e-14 4228171.5 1.1089448e+09 2.3232143e+09
0.15 1.0632744e+10 3.8503702e-14 1.8363072e-14 4353045.8 1.1366637e+09 2.3833572e+09
0.15 1.0620163e+10 3.9733273e-14 1.8932966e-14 4481430.7 1.1650225e+09 2.44495e+09
0.15 1.0607581e+10 4.1000604e-14 1.9519794e-14 4613419.9 1.1940344e+09 2.5080249e+09
0.15 1.0595e+10 4.2306808e-14 2.0124033e-14 4749109.1 1.2237128e+09 2.5726147e+09
0.15 1.0582418e+10 4.365303e-14 2.0746173e-14 4888596.7 1.2540716e+09 2.6387528e+09
0.15 1.0569836e+10 4.5040446e-14 2.1386717e-14 5031983.4 1.2851245e+09 2.7064734e+09
0.15 1.0557255e+10 4.6470266e-14 2.2046181e-14 5179372.6 1.3168859e+09 2.7758112e+09
0.15 1.0544673e+10 4.7943735e-14 2.2725096e-14 5330870.1 1.3493701e+09 2.8468018e+09
0.15 1.0532091e+10 4.9462127e-14 2.3424004e-14 5486583.9 1.3825919e+09 2.9194811e+09
0.15 1.051951e+10 5.1026756e-14 2.4143462e-14 5646625.2 1.416566e+09 2.9938859e+09
0.15 1.0506928e+10 5.2638973e-14 2.4884042e-14 5811107.8 1.4513078e+09 3.0700539e+09
0.15 1.0494347e+10 5.4300163e-14 2.5646333e-14 5980148.1 1.4868326e+09 3.1480232e+09
0.15 1.0481765e+10 5.6011752e-14 2.6430937e-14 6153865.3 1.5231561e+09 3.2278326e+09
0.15 1.0469183e+10 5.7775204e-14 2.723847e-14 6332381.9 1.5602942e+09 3.3095221e+09
0.15 1.0456602e+10 5.9592026e-14 2.8069566e-14 6515823 1.5982632e+09 3.393132e+09
0.15 1.044402e+10 6.1463766e-14 2.8924874e-14 6704317.3 1.6370793e+09 3.4787036e+09
0.15 1.0431438e+10 6.3392014e-14 2.9805058e-14 6897996.1 1.6767594e+09 3.566279e+09
0.15 1.0418857e+10 6.5378406e-14 3.0710802e-14 7096994.5 1.7173202e+09 3.6559012e+09
0.15 1.0406275e+10 6.7424622e-14 3.1642806e-14 7301450.2 1.7587791e+09 3.7476137e+09
0.15 1.0393694e+10 6.9532386e-14 3.2601787e-14 7511504.8 1.8011535e+09 3.8414612e+09
0.15 1.0381112e+10 7.1703473e-14 3.3588482e-14 7727302.9 1.8444612e+09 3.9374888e+09
0.15 1.036853e+10 7.3939702e-14 3.4603648e-14 7948992.7 1.8887204e+09 4.0357428e+09
0.15 1.0355949e+10 7.6242946e-14 3.5648058e-14 8176726 1.9339493e+09 4.1362701e+09
0.15 1.0343367e+10 7.8615124e-14 3.6722508e-14 8410658.1 1.9801669e+09 4.2391185e+09
0.15 1.0330785e+10 8.1058214e-14 3.7827813e-14 8650948.1 2.0273919e+09 4.344337e+09
0.15 1.0318204e+10 8.357424e-14 3.8964809e-14 8897759 2.0756438e+09 4.451975e+09
0.15 1.0305622e+10 8.6165286e-14 4.0134356e-14 9151257.2 2.1249423e+09 4.562083e+09
0.15 1.0293041e+10 8.8833487e-14 4.1337333e-14 9411613.3 2.1753075e+09 4.6747124e+09
0.15 1.0280459e+10 9.1581039e-14 4.2574645e-14 9679001.7 2.2267595e+09 4.7899155e+09
0.15 1.0267877e+10 9.4410191e-14 4.3847219e-14 9953600.7 2.2793193e+09 4.9077451e+09
0.15 1.0255296e+10 9.7323257e-14 4.5156004e-14 10235593 2.3330079e+09 5.0282555e+09
0.15 1.0242714e+10 1.0032261e-13 4.6501978e-14 10525165 2.3878467e+09 5.1515016e+09
0.15 1.0230132e+10 1.0341069e-13 4.7886134e-14 10822509 2.4438572e+09 5.2775395e+09
0.15 1.0217551e+10 1.0659001e-13 4.9309495e-14 11127821 2.5010614e+09 5.4064265e+09
0.15 1.0204969e+10 1.0986313e-13 5.0773113e-14 11441300 2.5594818e+09 5.5382205e+09
0.15 1.0192388e+10 1.1323271e-13 5.2278058e-14 11763153 2.6191409e+09 5.6729807e+09
0.15 1.0179806e+10 1.1670145e-13 5.382543e-14 12093590 2.6800616e+09 5.8107675e+09
0.15 1.0167224e+10 1.2027214e-13 5.5416352e-14 12432826 2.742267e+09 5.9516425e+09
0.15 1.0154643e+10 1.2394766e-13 5.7051976e-14 12781082 2.8057805e+09 6.0956683e+09
0.15 1.0142061e+10 1.2773094e-13 5.873348e-14 13138584 2.8706259e+09 6.2429088e+09
