# Simulation tanh_50mic_Zeq10_B0 
#
#temps 1.809999999999995e-12 s 
#position suivant x  301 (micron) 
#
#col 0 : vitesse (cm/s) 
#col 1 : f0 x v**2 (a. u.) 
#col 2 : m_e x f1 x v**5 / 2 (a. u.) 
#
24861416.497778	8441055.460984	-0.000000
74584249.493334	75862545.230232	-0.000043
124307082.488890	210136358.231512	-0.004223
174029915.484445	410130165.137407	-0.086802
223752748.480001	674160402.511673	-0.827709
273475581.475557	1000009970.204973	-4.994970
323198414.471113	1384951466.078783	-22.235406
372921247.466669	1825775655.298124	-79.649336
422644080.462225	2318824804.745706	-242.355990
472366913.457781	2860030452.209725	-649.369773
522089746.453336	3444955125.784087	-1571.157766
571812579.448892	4068837482.189364	-3495.988905
621535412.444448	4726640294.134948	-7252.476659
671258245.440004	5413100687.386391	-14175.440815
720981078.435560	6122782004.107711	-26321.278384
770703911.431116	6850126666.129122	-46737.387099
820426744.426672	7589509396.024870	-79787.813407
870149577.422228	8335290172.569207	-131534.240639
919872410.417783	9081866306.264437	-210167.775151
969595243.413339	9823723046.538389	-326482.863026
1019318076.408895	10555482163.870134	-494380.253113
1069040909.404451	11271947989.229836	-731381.426039
1118763742.400007	11968150438.785244	-1059132.571763
1168486575.395563	12639384602.965185	-1503872.272958
1218209408.391119	13281246534.737328	-2096833.791878
1267932241.386675	13889664931.354994	-2874550.504917
1317655074.382231	14460928465.826811	-3879031.793476
1367377907.377786	14991708587.923880	-5157776.753525
1417100740.373342	15479077678.620039	-6763594.544147
1466823573.368898	15920522505.454657	-8754203.108389
1516546406.364454	16313952988.441721	-11191582.335842
1566269239.360010	16657706345.914688	-14141063.381118
1615992072.355566	16950546746.250046	-17670142.543160
1665714905.351122	17191660644.012032	-21847015.477404
1715437738.346678	17380648027.039879	-26738835.015629
1765160571.342233	17517509843.808399	-32409703.030001
1814883404.337789	17602631917.593410	-38918413.436562
1864606237.333345	17636765685.240189	-46315970.043351
1914329070.328901	17621006124.598408	-54642911.128792
1964051903.324457	17556767245.142509	-63926482.646108
2013774736.320013	17445755554.329460	-74177719.043813
2063497569.315569	17289941876.630550	-85388509.124796
2113220402.311125	17091531943.839695	-97528749.072631
2162943235.306680	16852936146.338419	-110543708.461396
2212666068.302236	16576738831.993219	-124351754.877652
2262388901.297792	16265667523.063593	-138842594.358614
2312111734.293348	15922562401.805222	-153876184.479237
2361834567.288904	15550346391.927441	-169282462.883012
2411557400.284460	15151996136.315926	-184862006.513389
2461280233.280015	14730514142.046488	-200387697.806631
2511003066.275571	14288902332.343931	-215607427.058773
2560725899.271127	13830137212.369740	-230247809.146446
2610448732.266683	13357146822.198195	-244018842.151938
2660171565.262239	12872789616.596930	-256619388.750874
2709894398.257795	12379835377.851381	-267743321.847813
2759617231.253351	11880948235.311253	-277086145.661934
2809340064.248907	11378671834.087734	-284351883.454457
2859062897.244462	10875416665.729990	-289260013.957866
2908785730.240018	10373449546.119438	-291552238.969128
2958508563.235574	9874885200.512941	-290998874.810703
3008231396.231130	9381679892.804131	-287404677.515800
3057954229.226686	8895627015.870569	-280613935.768320
3107677062.222242	8418354542.371375	-270514693.662446
3157399895.217798	7951324220.604246	-257041997.091324
3207122728.213354	7495832388.049480	-240180090.455717
3256845561.208910	7053012265.908228	-219963523.660163
3306568394.204465	6623837591.235947	-196477162.167580
3356291227.200021	6209127439.041002	-169855123.171522
3406014060.195577	5809552084.780656	-140278689.481252
3455736893.191133	5425639757.927519	-107973277.155389
3505459726.186689	5057784139.427379	-73204554.591275
3555182559.182245	4706252459.789826	-36273827.599521
3604905392.177801	4371194059.981103	2487181.807587
3654628225.173357	4052649284.104329	42722026.052979
3704351058.168912	3750558580.050906	84055551.894730
3754073891.164468	3464771695.465574	126100107.082923
3803796724.160024	3195056861.373285	168461793.978271
3853519557.155580	2941109870.088943	210746639.704548
3903242390.151136	2702562961.904734	252566558.351960
3952965223.146692	2478993445.995674	293544994.203009
4002688056.142248	2269931991.267251	333322148.113219
4052410889.137804	2074870533.007660	371559704.549749
4102133722.133359	1893269751.074807	407944992.714449
4151856555.128915	1724566084.816766	442194531.519053
4201579388.124471	1568178258.871423	474056924.843817
4251302221.120027	1423513302.390408	503315089.351318
4301025054.115582	1289972051.979555	529787812.220098
4350747887.111138	1166954135.720756	553330650.767127
4400470720.106694	1053862442.000635	573836197.624190
4450193553.102250	950107082.499855	591233747.202043
4499916386.097806	855108863.604219	605488408.084002
4549639219.093362	768302284.660199	616599714.254536
4599362052.088918	689138084.994368	624599792.680526
4649084885.084474	617085364.392049	629551151.028440
4698807718.080029	551633303.888879	631544149.777660
4748530551.075585	492292515.304536	630694224.969163
4798253384.071141	438596048.943854	627138927.097962
4847976217.066697	390100089.378739	621034839.649460
4897699050.062253	346384369.318024	612554438.208418
4947421883.057809	307052331.190609	601882946.242204
4997144716.053365	271731065.419386	589215239.891405
5046867549.048921	240071053.354913	574752848.316699
5096590382.044477	211745741.642345	558701090.207353
5146313215.040032	186450973.383603	541266381.052905
5196036048.035588	163904299.870609	522653740.362445
5245758881.031144	143844195.037340	503064520.256584
5295481714.026700	126029193.008196	482694372.711705
5345204547.022256	110236967.355151	461731465.759134
5394927380.017812	96263368.910489	440354953.954880
5444650213.013368	83921437.191237	418733704.238460
5494373046.008924	73040398.808798	397025271.333653
5544095879.004479	63464664.552452	375375117.219821
5593818712.000035	55052835.267599	353916061.258289
5643541544.995591	47676725.164316	332767948.215764
5693264377.991147	41220409.770408	312037516.891877
5742987210.986703	35579304.489427	291818451.738338
