#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.1966397e+10 4.2490478e-12 5.0197478e-15 6.0844092e+08 5.6099457e+08 4.7486305e+11
0.15 1.1953815e+10 4.4294768e-12 5.2671609e-15 6.3294431e+08 5.855568e+08 4.9243042e+11
0.15 1.1941233e+10 4.6165798e-12 5.5235575e-15 6.5829222e+08 6.1083597e+08 5.1053564e+11
0.15 1.1928652e+10 4.8105957e-12 5.789198e-15 6.8451282e+08 6.3684683e+08 5.2919466e+11
0.15 1.191607e+10 5.011772e-12 6.0643504e-15 7.1163518e+08 6.6360452e+08 5.4842387e+11
0.15 1.1903489e+10 5.2203644e-12 6.3492904e-15 7.396893e+08 6.9112446e+08 5.6824012e+11
0.15 1.1890907e+10 5.4366375e-12 6.6443011e-15 7.6870612e+08 7.1942245e+08 5.8866072e+11
0.15 1.1878325e+10 5.6608651e-12 6.9496739e-15 7.9871757e+08 7.4851462e+08 6.0970347e+11
0.15 1.1865744e+10 5.8933304e-12 7.2657084e-15 8.2975661e+08 7.7841744e+08 6.3138664e+11
0.15 1.1853162e+10 6.1343262e-12 7.5927125e-15 8.618572e+08 8.0914778e+08 6.5372902e+11
0.15 1.184058e+10 6.3841555e-12 7.9310027e-15 8.9505443e+08 8.4072283e+08 6.767499e+11
0.15 1.1827999e+10 6.6431316e-12 8.2809045e-15 9.2938445e+08 8.7316017e+08 7.0046913e+11
0.15 1.1815417e+10 6.9115784e-12 8.6427524e-15 9.6488458e+08 9.0647776e+08 7.2490705e+11
0.15 1.1802836e+10 7.1898312e-12 9.0168902e-15 1.0015933e+09 9.4069394e+08 7.5008461e+11
0.15 1.1790254e+10 7.4782363e-12 9.4036712e-15 1.0395503e+09 9.7582741e+08 7.760233e+11
0.15 1.1777672e+10 7.7771521e-12 9.8034587e-15 1.0787965e+09 1.0118973e+09 8.0274519e+11
0.15 1.1765091e+10 8.0869492e-12 1.0216626e-14 1.1193742e+09 1.0489231e+09 8.3027296e+11
0.15 1.1752509e+10 8.4080106e-12 1.0643556e-14 1.1613268e+09 1.0869248e+09 8.586299e+11
0.15 1.1739927e+10 8.7407325e-12 1.1084643e-14 1.2046993e+09 1.1259227e+09 8.8783993e+11
0.15 1.1727346e+10 9.0855244e-12 1.1540293e-14 1.249538e+09 1.1659375e+09 9.1792762e+11
0.15 1.1714764e+10 9.4428096e-12 1.201092e-14 1.2958906e+09 1.2069904e+09 9.4891818e+11
0.15 1.1702183e+10 9.8130259e-12 1.2496952e-14 1.3438063e+09 1.249103e+09 9.8083752e+11
0.15 1.1689601e+10 1.0196626e-11 1.2998829e-14 1.393336e+09 1.2922973e+09 1.0137122e+12
0.15 1.1677019e+10 1.0594077e-11 1.3517001e-14 1.4445318e+09 1.3365959e+09 1.0475696e+12
0.15 1.1664438e+10 1.1005863e-11 1.4051932e-14 1.4974478e+09 1.3820217e+09 1.0824377e+12
0.15 1.1651856e+10 1.1432483e-11 1.4604096e-14 1.5521396e+09 1.428598e+09 1.1183453e+12
0.15 1.1639274e+10 1.1874454e-11 1.5173984e-14 1.6086645e+09 1.4763487e+09 1.1553218e+12
0.15 1.1626693e+10 1.233231e-11 1.5762095e-14 1.6670815e+09 1.5252981e+09 1.1933978e+12
0.15 1.1614111e+10 1.2806603e-11 1.6368947e-14 1.7274517e+09 1.575471e+09 1.2326041e+12
0.15 1.160153e+10 1.3297902e-11 1.6995067e-14 1.7898377e+09 1.6268927e+09 1.2729729e+12
0.15 1.1588948e+10 1.3806797e-11 1.7640999e-14 1.8543042e+09 1.679589e+09 1.3145369e+12
0.15 1.1576366e+10 1.4333897e-11 1.8307301e-14 1.9209179e+09 1.7335861e+09 1.3573298e+12
0.15 1.1563785e+10 1.4879831e-11 1.8994546e-14 1.9897476e+09 1.7889107e+09 1.401386e+12
0.15 1.1551203e+10 1.5445248e-11 1.970332e-14 2.060864e+09 1.8455903e+09 1.4467409e+12
0.15 1.1538621e+10 1.6030821e-11 2.0434229e-14 2.1343401e+09 1.9036524e+09 1.4934311e+12
0.15 1.152604e+10 1.6637244e-11 2.118789e-14 2.2102511e+09 1.9631255e+09 1.5414936e+12
0.15 1.1513458e+10 1.7265232e-11 2.1964941e-14 2.2886743e+09 2.0240384e+09 1.5909669e+12
0.15 1.1500877e+10 1.7915528e-11 2.2766033e-14 2.3696898e+09 2.0864205e+09 1.6418901e+12
0.15 1.1488295e+10 1.8588895e-11 2.3591836e-14 2.4533795e+09 2.1503017e+09 1.6943036e+12
0.15 1.1475713e+10 1.9286125e-11 2.4443037e-14 2.5398283e+09 2.2157125e+09 1.7482487e+12
0.15 1.1463132e+10 2.0008033e-11 2.5320343e-14 2.6291234e+09 2.2826838e+09 1.8037676e+12
0.15 1.145055e+10 2.0755463e-11 2.6224475e-14 2.7213546e+09 2.3512474e+09 1.860904e+12
0.15 1.1437968e+10 2.1529286e-11 2.7156177e-14 2.8166146e+09 2.4214354e+09 1.9197023e+12
0.15 1.1425387e+10 2.2330401e-11 2.8116211e-14 2.9149986e+09 2.4932805e+09 1.9802083e+12
0.15 1.1412805e+10 2.3159737e-11 2.9105358e-14 3.016605e+09 2.566816e+09 2.0424688e+12
0.15 1.1400224e+10 2.4018254e-11 3.012442e-14 3.1215347e+09 2.642076e+09 2.106532e+12
0.15 1.1387642e+10 2.4906942e-11 3.1174218e-14 3.2298921e+09 2.7190949e+09 2.1724471e+12
0.15 1.137506e+10 2.5826824e-11 3.2255597e-14 3.3417843e+09 2.7979079e+09 2.2402646e+12
0.15 1.1362479e+10 2.6778957e-11 3.3369422e-14 3.4573219e+09 2.8785507e+09 2.3100365e+12
0.15 1.1349897e+10 2.776443e-11 3.451658e-14 3.5766185e+09 2.9610596e+09 2.3818157e+12
0.15 1.1337315e+10 2.8784372e-11 3.5697982e-14 3.6997912e+09 3.0454718e+09 2.4556569e+12
0.15 1.1324734e+10 2.9839943e-11 3.6914559e-14 3.8269606e+09 3.1318249e+09 2.5316157e+12
0.15 1.1312152e+10 3.0932345e-11 3.8167269e-14 3.9582509e+09 3.2201571e+09 2.6097494e+12
0.15 1.1299571e+10 3.2062816e-11 3.9457094e-14 4.0937898e+09 3.3105074e+09 2.6901168e+12
0.15 1.1286989e+10 3.3232636e-11 4.0785038e-14 4.2337089e+09 3.4029154e+09 2.7727778e+12
0.15 1.1274407e+10 3.4443126e-11 4.2152134e-14 4.3781436e+09 3.4974213e+09 2.8577941e+12
0.15 1.1261826e+10 3.5695648e-11 4.3559438e-14 4.5272332e+09 3.594066e+09 2.9452289e+12
0.15 1.1249244e+10 3.6991609e-11 4.5008035e-14 4.6811214e+09 3.6928913e+09 3.0351468e+12
0.15 1.1236662e+10 3.8332462e-11 4.6499034e-14 4.8399557e+09 3.7939394e+09 3.1276141e+12
0.15 1.1224081e+10 3.9719705e-11 4.8033576e-14 5.0038881e+09 3.8972532e+09 3.2226988e+12
0.15 1.1211499e+10 4.1154885e-11 4.9612826e-14 5.173075e+09 4.0028765e+09 3.3204705e+12
0.15 1.1198918e+10 4.2639599e-11 5.123798e-14 5.3476774e+09 4.1108537e+09 3.4210004e+12
0.15 1.1186336e+10 4.4175492e-11 5.2910265e-14 5.527861e+09 4.2212299e+09 3.5243616e+12
0.15 1.1173754e+10 4.5764266e-11 5.4630935e-14 5.7137961e+09 4.3340509e+09 3.630629e+12
0.15 1.1161173e+10 4.7407674e-11 5.6401278e-14 5.9056581e+09 4.4493632e+09 3.7398791e+12
0.15 1.1148591e+10 4.9107525e-11 5.8222612e-14 6.1036275e+09 4.5672143e+09 3.8521905e+12
0.15 1.1136009e+10 5.0865688e-11 6.0096288e-14 6.3078898e+09 4.6876521e+09 3.9676435e+12
0.15 1.1123428e+10 5.2684087e-11 6.2023689e-14 6.5186362e+09 4.8107255e+09 4.0863206e+12
0.15 1.1110846e+10 5.4564712e-11 6.4006233e-14 6.7360629e+09 4.9364839e+09 4.2083061e+12
0.15 1.1098265e+10 5.6509611e-11 6.6045372e-14 6.9603723e+09 5.0649776e+09 4.3336862e+12
0.15 1.1085683e+10 5.8520901e-11 6.8142592e-14 7.191772e+09 5.1962578e+09 4.4625495e+12
0.15 1.1073101e+10 6.0600763e-11 7.0299418e-14 7.430476e+09 5.3303763e+09 4.5949864e+12
0.15 1.106052e+10 6.2751447e-11 7.2517408e-14 7.6767043e+09 5.4673857e+09 4.7310897e+12
0.15 1.1047938e+10 6.4975275e-11 7.4798161e-14 7.9306829e+09 5.6073394e+09 4.8709543e+12
0.15 1.1035356e+10 6.727464e-11 7.7143311e-14 8.1926446e+09 5.7502917e+09 5.0146772e+12
0.15 1.1022775e+10 6.9652013e-11 7.9554534e-14 8.4628285e+09 5.8962975e+09 5.162358e+12
0.15 1.1010193e+10 7.2109939e-11 8.2033544e-14 8.7414807e+09 6.0454126e+09 5.3140985e+12
0.15 1.0997612e+10 7.4651045e-11 8.4582097e-14 9.0288542e+09 6.1976937e+09 5.4700028e+12
0.15 1.098503e+10 7.7278038e-11 8.7201991e-14 9.3252091e+09 6.3531981e+09 5.6301775e+12
0.15 1.0972448e+10 7.9993712e-11 8.9895064e-14 9.6308127e+09 6.5119842e+09 5.7947319e+12
0.15 1.0959867e+10 8.2800946e-11 9.2663201e-14 9.9459402e+09 6.6741111e+09 5.9637775e+12
0.15 1.0947285e+10 8.5702709e-11 9.5508328e-14 1.0270874e+10 6.8396386e+09 6.1374287e+12
0.15 1.0934703e+10 8.8702062e-11 9.8432419e-14 1.0605905e+10 7.0086275e+09 6.3158024e+12
0.15 1.0922122e+10 9.1802161e-11 1.0143749e-13 1.0951332e+10 7.1811394e+09 6.4990183e+12
0.15 1.090954e+10 9.500626e-11 1.0452561e-13 1.1307461e+10 7.3572367e+09 6.6871987e+12
0.15 1.0896959e+10 9.8317713e-11 1.076989e-13 1.167461e+10 7.5369828e+09 6.880469e+12
0.15 1.0884377e+10 1.0173998e-10 1.109595e-13 1.2053101e+10 7.7204417e+09 7.0789571e+12
0.15 1.0871795e+10 1.0527662e-10 1.1430965e-13 1.2443268e+10 7.9076785e+09 7.2827942e+12
0.15 1.0859214e+10 1.0893131e-10 1.177516e-13 1.2845455e+10 8.0987592e+09 7.4921143e+12
0.15 1.0846632e+10 1.1270784e-10 1.2128767e-13 1.3260012e+10 8.2937503e+09 7.7070545e+12
0.15 1.083405e+10 1.166101e-10 1.2492022e-13 1.3687303e+10 8.4927196e+09 7.9277551e+12
0.15 1.0821469e+10 1.2064213e-10 1.2865169e-13 1.4127699e+10 8.6957356e+09 8.1543593e+12
0.15 1.0808887e+10 1.2480807e-10 1.3248455e-13 1.4581582e+10 8.9028676e+09 8.387014e+12
0.15 1.0796306e+10 1.2911219e-10 1.3642133e-13 1.5049344e+10 9.1141859e+09 8.6258689e+12
0.15 1.0783724e+10 1.3355889e-10 1.4046463e-13 1.553139e+10 9.3297616e+09 8.8710775e+12
0.15 1.0771142e+10 1.381527e-10 1.4461709e-13 1.6028132e+10 9.5496668e+09 9.1227964e+12
0.15 1.0758561e+10 1.4289831e-10 1.4888144e-13 1.6539998e+10 9.7739745e+09 9.381186e+12
0.15 1.0745979e+10 1.4780053e-10 1.5326044e-13 1.7067424e+10 1.0002758e+10 9.6464101e+12
0.15 1.0733397e+10 1.5286432e-10 1.5775692e-13 1.761086e+10 1.0236093e+10 9.9186362e+12
0.15 1.0720816e+10 1.5809479e-10 1.6237378e-13 1.8170766e+10 1.0474055e+10 1.0198035e+13
0.15 1.0708234e+10 1.6349722e-10 1.6711398e-13 1.8747617e+10 1.0716719e+10 1.0484783e+13
0.15 1.0695653e+10 1.6907701e-10 1.7198055e-13 1.93419e+10 1.0964165e+10 1.0779057e+13
0.15 1.0683071e+10 1.7483978e-10 1.7697659e-13 1.9954115e+10 1.1216469e+10 1.1081041e+13
0.15 1.0670489e+10 1.8079126e-10 1.8210525e-13 2.0584774e+10 1.1473711e+10 1.1390922e+13
0.15 1.0657908e+10 1.8693739e-10 1.8736976e-13 2.1234405e+10 1.1735972e+10 1.170889e+13
0.15 1.0645326e+10 1.9328429e-10 1.9277343e-13 2.1903549e+10 1.2003331e+10 1.2035141e+13
0.15 1.0632744e+10 1.9983823e-10 1.9831964e-13 2.2592762e+10 1.2275873e+10 1.2369873e+13
0.15 1.0620163e+10 2.0660571e-10 2.0401182e-13 2.3302615e+10 1.2553678e+10 1.271329e+13
0.15 1.0607581e+10 2.1359338e-10 2.0985351e-13 2.4033693e+10 1.2836831e+10 1.3065601e+13
0.15 1.0595e+10 2.2080813e-10 2.1584829e-13 2.4786599e+10 1.3125417e+10 1.3427017e+13
0.15 1.0582418e+10 2.2825702e-10 2.2199986e-13 2.5561949e+10 1.3419521e+10 1.3797756e+13
0.15 1.0569836e+10 2.3594734e-10 2.2831195e-13 2.6360377e+10 1.371923e+10 1.4178039e+13
0.15 1.0557255e+10 2.4388661e-10 2.3478841e-13 2.7182534e+10 1.402463e+10 1.4568093e+13
0.15 1.0544673e+10 2.5208252e-10 2.4143315e-13 2.8029089e+10 1.4335811e+10 1.4968149e+13
0.15 1.0532091e+10 2.6054306e-10 2.4825018e-13 2.8900725e+10 1.4652861e+10 1.5378443e+13
0.15 1.051951e+10 2.6927638e-10 2.5524357e-13 2.9798148e+10 1.4975871e+10 1.5799217e+13
0.15 1.0506928e+10 2.7829094e-10 2.624175e-13 3.0722078e+10 1.5304931e+10 1.6230715e+13
0.15 1.0494347e+10 2.875954e-10 2.6977623e-13 3.1673258e+10 1.5640134e+10 1.6673191e+13
0.15 1.0481765e+10 2.9719869e-10 2.7732411e-13 3.2652446e+10 1.5981571e+10 1.7126899e+13
0.15 1.0469183e+10 3.0711001e-10 2.8506557e-13 3.3660424e+10 1.6329337e+10 1.7592103e+13
0.15 1.0456602e+10 3.1733883e-10 2.9300515e-13 3.4697992e+10 1.6683526e+10 1.806907e+13
0.15 1.044402e+10 3.2789487e-10 3.0114747e-13 3.5765971e+10 1.7044233e+10 1.8558073e+13
0.15 1.0431438e+10 3.3878817e-10 3.0949725e-13 3.6865203e+10 1.7411555e+10 1.905939e+13
0.15 1.0418857e+10 3.5002904e-10 3.1805931e-13 3.7996554e+10 1.7785588e+10 1.9573307e+13
0.15 1.0406275e+10 3.616281e-10 3.2683857e-13 3.9160911e+10 1.8166431e+10 2.0100112e+13
0.15 1.0393694e+10 3.7359628e-10 3.3584005e-13 4.0359182e+10 1.8554181e+10 2.0640103e+13
0.15 1.0381112e+10 3.8594481e-10 3.4506886e-13 4.1592301e+10 1.894894e+10 2.1193581e+13
0.15 1.036853e+10 3.9868526e-10 3.5453023e-13 4.2861225e+10 1.9350806e+10 2.1760855e+13
0.15 1.0355949e+10 4.1182954e-10 3.6422949e-13 4.4166936e+10 1.9759881e+10 2.234224e+13
0.15 1.0343367e+10 4.253899e-10 3.7417208e-13 4.5510441e+10 2.0176268e+10 2.2938057e+13
0.15 1.0330785e+10 4.3937893e-10 3.8436353e-13 4.6892772e+10 2.0600068e+10 2.3548633e+13
0.15 1.0318204e+10 4.5380959e-10 3.9480951e-13 4.8314987e+10 2.1031386e+10 2.4174302e+13
