-2.500000000000000000e-01	9.839800717196129920e-01
2.500000000000000000e-01	9.839800717196129920e-01
7.500000000000000000e-01	9.839798262821939367e-01
1.250000000000000000e+00	9.839793358423859493e-01
1.750000000000000000e+00	9.839786012690699968e-01
2.250000000000000000e+00	9.839776238625869142e-01
2.750000000000000000e+00	9.839764053511919073e-01
3.250000000000000000e+00	9.839749478863228926e-01
3.750000000000000000e+00	9.839732540367269742e-01
4.250000000000000000e+00	9.839713267814249598e-01
4.750000000000000000e+00	9.839691695015669870e-01
5.250000000000000000e+00	9.839667859711859199e-01
5.750000000000000000e+00	9.839641803468689440e-01
6.250000000000000000e+00	9.839613571563988748e-01
6.750000000000000000e+00	9.839583212863439732e-01
7.250000000000000000e+00	9.839550779686889737e-01
7.750000000000000000e+00	9.839516327665139839e-01
8.250000000000000000e+00	9.839479915587600045e-01
8.750000000000000000e+00	9.839441605241070476e-01
9.250000000000000000e+00	9.839401461240389057e-01
9.750000000000000000e+00	9.839359550851289882e-01
1.025000000000000000e+01	9.839315943805529985e-01
1.075000000000000000e+01	9.839270712109589034e-01
1.125000000000000000e+01	9.839223929846490080e-01
1.175000000000000000e+01	9.839175672971819386e-01
1.225000000000000000e+01	9.839126019104640353e-01
1.275000000000000000e+01	9.839075047312949573e-01
1.325000000000000000e+01	9.839022837895259332e-01
1.375000000000000000e+01	9.838969472158318741e-01
1.425000000000000000e+01	9.838915032191219989e-01
1.475000000000000000e+01	9.838859600637209768e-01
1.525000000000000000e+01	9.838803260463000466e-01
1.575000000000000000e+01	9.838746094726859015e-01
1.625000000000000000e+01	9.838688186345160291e-01
1.675000000000000000e+01	9.838629617858759557e-01
1.725000000000000000e+01	9.838570471199279410e-01
1.775000000000000000e+01	9.838510827455939634e-01
1.825000000000000000e+01	9.838450766643540568e-01
1.875000000000000000e+01	9.838390367471819831e-01
1.925000000000000000e+01	9.838329707117279277e-01
1.975000000000000000e+01	9.838268860997279042e-01
2.025000000000000000e+01	9.838207902547380090e-01
2.075000000000000000e+01	9.838146903002189525e-01
2.125000000000000000e+01	9.838085931180060584e-01
2.175000000000000000e+01	9.838025053272599907e-01
2.225000000000000000e+01	9.837964332638429177e-01
2.275000000000000000e+01	9.837903829602869799e-01
2.325000000000000000e+01	9.837843601262519222e-01
2.375000000000000000e+01	9.837783701296438643e-01
2.425000000000000000e+01	9.837724179783209344e-01
2.475000000000000000e+01	9.837665083024770274e-01
2.525000000000000000e+01	9.837606453377220062e-01
2.575000000000000000e+01	9.837548329088759980e-01
2.625000000000000000e+01	9.837490744144858912e-01
2.675000000000000000e+01	9.837433728121469656e-01
2.725000000000000000e+01	9.837377306045879122e-01
2.775000000000000000e+01	9.837321498265559905e-01
2.825000000000000000e+01	9.837266320325249724e-01
2.875000000000000000e+01	9.837211782852448572e-01
2.925000000000000000e+01	9.837157891451310254e-01
2.975000000000000000e+01	9.837104646605010494e-01
3.025000000000000000e+01	9.837052043586870242e-01
3.075000000000000000e+01	9.837000072379800120e-01
3.125000000000000000e+01	9.836948717604929726e-01
3.175000000000000000e+01	9.836897958458339364e-01
3.225000000000000000e+01	9.836847768656908908e-01
3.275000000000000000e+01	9.836798116392480029e-01
3.325000000000000000e+01	9.836748964294769193e-01
3.375000000000000000e+01	9.836700269402700592e-01
3.425000000000000000e+01	9.836651983144110156e-01
3.475000000000000000e+01	9.836604051323759590e-01
3.525000000000000000e+01	9.836556414119669300e-01
3.575000000000000000e+01	9.836509006087199580e-01
3.625000000000000000e+01	9.836461756171109849e-01
3.675000000000000000e+01	9.836414587725479386e-01
3.725000000000000000e+01	9.836367418541009933e-01
3.775000000000000000e+01	9.836320160879579166e-01
3.825000000000000000e+01	9.836272721516069462e-01
3.875000000000000000e+01	9.836225001787048949e-01
3.925000000000000000e+01	9.836176897646189410e-01
3.975000000000000000e+01	9.836128299726000224e-01
4.025000000000000000e+01	9.836079093405778462e-01
4.075000000000000000e+01	9.836029158885899459e-01
4.125000000000000000e+01	9.835978371267179998e-01
4.175000000000000000e+01	9.835926600636178962e-01
4.225000000000000000e+01	9.835873712155620563e-01
4.275000000000000000e+01	9.835819566159449412e-01
4.325000000000000000e+01	9.835764018252960428e-01
4.375000000000000000e+01	9.835706919416880023e-01
4.425000000000000000e+01	9.835648116115949247e-01
4.475000000000000000e+01	9.835587450410939736e-01
4.525000000000000000e+01	9.835524760074659811e-01
4.575000000000000000e+01	9.835459878710699488e-01
4.625000000000000000e+01	9.835392635875919165e-01
4.675000000000000000e+01	9.835322857204860103e-01
4.725000000000000000e+01	9.835250364537119205e-01
4.775000000000000000e+01	9.835174976047018625e-01
4.825000000000000000e+01	9.835096506374758629e-01
4.875000000000000000e+01	9.835014766759648808e-01
4.925000000000000000e+01	9.834929565174570509e-01
4.975000000000000000e+01	9.834840706461810411e-01
5.025000000000000000e+01	9.834747992469389244e-01
5.075000000000000000e+01	9.834651222188699471e-01
5.125000000000000000e+01	9.834550191892079685e-01
5.175000000000000000e+01	9.834444695270879722e-01
5.225000000000000000e+01	9.834334523573489140e-01
5.275000000000000000e+01	9.834219465743069266e-01
5.325000000000000000e+01	9.834099308555009911e-01
5.375000000000000000e+01	9.833973836753669984e-01
5.425000000000000000e+01	9.833842833188159993e-01
5.475000000000000000e+01	9.833706078947579421e-01
5.525000000000000000e+01	9.833563353494489956e-01
5.575000000000000000e+01	9.833414434797359549e-01
5.625000000000000000e+01	9.833259099461549857e-01
5.675000000000000000e+01	9.833097122858249772e-01
5.725000000000000000e+01	9.832928279252038939e-01
