#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.2427723e+10 1.6034518e-16 8.1622765e-17 24765.04 11021200 21650778
0.15 1.2423529e+10 1.6613225e-16 8.4801143e-17 25641.528 11431057 22394359
0.15 1.2419335e+10 1.7196845e-16 8.8005374e-17 26524.394 11842973 23141968
0.15 1.2415141e+10 1.7786644e-16 9.1242735e-17 27415.574 12257910 23895280
0.15 1.2410947e+10 1.838445e-16 9.4523734e-17 28317.865 12677258 24656709
0.15 1.2406754e+10 1.8991516e-16 9.7855567e-17 29233.173 13101955 25427883
0.15 1.240256e+10 1.9607749e-16 1.0123764e-16 30161.324 13531890 26208620
0.15 1.2398366e+10 2.0231315e-16 1.0465933e-16 31099.471 13965611 26996417
0.15 1.2394172e+10 2.0858663e-16 1.0810008e-16 32042.139 14400361 27786499
0.15 1.2389978e+10 2.1485185e-16 1.1153325e-16 32982.243 14832584 28572720
0.15 1.2385784e+10 2.210655e-16 1.1493378e-16 33913.139 15258963 29349337
0.15 1.238159e+10 2.2720178e-16 1.1828674e-16 34830.891 15677542 30112975
0.15 1.2377396e+10 2.3325973e-16 1.2159152e-16 35735.377 16088279 30863563
0.15 1.2373203e+10 2.3925839e-16 1.2485908e-16 36629.537 16492653 31603674
0.15 1.2369009e+10 2.4522468e-16 1.2810489e-16 37517.507 16892735 32336904
0.15 1.2364815e+10 2.5118415e-16 1.3134364e-16 38403.205 17290475 33066643
0.15 1.2360621e+10 2.571599e-16 1.3458861e-16 39290.163 17687626 33795936
0.15 1.2356427e+10 2.6317572e-16 1.3785348e-16 40182.009 18085981 34527899
0.15 1.2352233e+10 2.6925573e-16 1.4115212e-16 41082.411 18487347 35265671
0.15 1.2348039e+10 2.7541816e-16 1.44495e-16 41994.129 18893074 36011596
0.15 1.2343845e+10 2.8166885e-16 1.4788546e-16 42918.03 19303570 36766389
0.15 1.2339652e+10 2.8800099e-16 1.5131954e-16 43853.047 19718291 37529108
0.15 1.2335458e+10 2.9440177e-16 1.5478981e-16 44797.209 20136245 38298039
0.15 1.2331264e+10 3.0086041e-16 1.5829e-16 45748.855 20556597 39071742
0.15 1.232707e+10 3.0737181e-16 1.6181712e-16 46707.192 20978941 39849522
0.15 1.2322876e+10 3.1393514e-16 1.6537065e-16 47672.08 21403195 40631244
